a (m),b (m)
0.05041251622589207,0.016767418810140957
0.02029434138528676,0.018086668616535663
0.022284601511427644,0.01634292476239355
0.04426086029915049,0.021029971161635106
0.03792474893604371,0.02771172940943618
0.021217545761357787,0.015629479063641583
0.06469981633215183,0.033282937517261295
0.03316120833345509,0.013353497574438909
0.039235477279042454,0.014664279024199152
0.03057792230395061,0.02289656399932663
0.04355807436279618,0.03486390483957689
0.18010032871234877,0.03668492431548064
0.05657987864694948,0.028651507422734264
0.03255227472645242,0.017992623204791183
0.017950861914768548,0.016009497422770323
0.045535536650109724,0.033510574851917406
0.018441593507336828,0.014175869860730992
0.02195603699720482,0.01607973426616697
0.025470843541057255,0.0180585712340899
0.027518964146228526,0.020694976012959696
0.032551337833179095,0.01943270464231584
0.014723065001241948,0.013118472583920229
0.01894453152308585,0.014303193165983734
0.04950647150388876,0.04311938286035458
0.02810616214357463,0.016551373381489196
0.029566785052746382,0.01847190696588572
0.02399165380552297,0.014994846475646549
0.016602898004481993,0.012934628450070706
0.033245116601041,0.015501498726991612
0.029092867668760708,0.014226362821507781
0.07252610519813814,0.046033165612337425
0.03430082082838706,0.02036991697768424
0.02704095385536697,0.015570012757487886
0.0217837794802724,0.013948092279614018
0.027257885760732438,0.01867189707719525
0.02861641814731107,0.020921085029545986
0.02300824286900764,0.022061765461625863
0.024218413083126222,0.018493192877759124
0.030238697457371,0.016192717919327148
0.01807217483798131,0.012975325604601805
0.02837885680895147,0.020024524474310152
0.0367601876577274,0.028329722644759525
0.031702532230009656,0.019642042839539235
0.040982013034558756,0.03188768406744897
0.03225681002355452,0.019884482717121187
0.04718767103754263,0.031536496274415744
0.02394216112330956,0.015067209265786849
0.03203376477398663,0.017682090493841694
0.038278061960813924,0.02313095489307193
0.040365351935111246,0.01662735283727666
0.019691931654673783,0.014881905529278022
0.03295492985463965,0.018307462011077368
0.021995183826635675,0.015270250802923331
0.016202377154076245,0.015902804691874998
0.019907720981837542,0.014962269570326177
0.018049425169278557,0.013610405391112067
0.01841791920243466,0.014256324215889857
0.05566511192311214,0.020775168316067943
0.02209738996870457,0.018677148001688834
0.021678540187106198,0.013985957573628924
0.02394809083354713,0.01780791291074421
0.045880676419122676,0.01972025342545834
0.03395173455745294,0.015268812377559296
0.02434818129851075,0.0158265511831425
